id_trainer_scenario,id_trainer_params_scenario,id_path,id_generation,agent_id,strategy_param_1_mean,strategy_param_1_cov,strategy_param_2_mean,strategy_param_2_cov,strategy_param_3_mean,strategy_param_3_cov,share_rock_mean,share_rock_cov,share_paper_mean,share_paper_cov,share_scissors_mean,share_scissors_cov,utility_mean,utility_cov
0,0,0,3,40,36.29988648294726,0.3326874739591535,66.11396915399845,0.21614045148137226,33.934637244620156,0.5287550813560287,0.315,0.5476826086392226,0.45,0.45883146774112343,0.23500000000000001,0.7720918963778292,-15.99333451719528,-0.9453631027132786
0,0,0,3,41,30.877615563727353,0.3999401975104218,35.09671241621449,0.8123885967749688,78.64018551350746,0.1707251461509115,0.24500000000000005,0.6136753786427034,0.22499999999999995,0.8874256963102517,0.53,0.31273938761495235,-0.9972691672504339,-11.815988041905428
0,0,0,3,42,41.19754291758197,0.5697440740701266,10.171031366052112,1.9352236268477987,72.91614698863906,0.22858603428449098,0.29,0.6513884423367812,0.06500000000000002,1.6760351250101617,0.645,0.2538841443677304,0.20883646110361836,104.2572726017413
0,0,0,3,43,24.86944376644157,1.1809424904320993,71.23650588014758,0.2577525500390918,44.90604251063123,0.4374855779347455,0.14000000000000004,0.9666845683985059,0.5149999999999999,0.4641206420668731,0.34500000000000003,0.560118999442349,14.500678548555825,0.8580220354642215
0,0,0,3,44,66.86907153541276,0.38168403733838735,38.07633865334622,0.6358054773019637,67.42383852147094,0.33020609784193833,0.445,0.6417398062585312,0.16500000000000004,0.9069618876458183,0.39,0.6905310336343007,-5.206171110677623,-3.268940465408566
0,0,0,3,45,72.46864452771214,0.2602191958077733,70.66556725892826,0.36409217413194866,36.537404748046676,0.2879852944417393,0.36,0.4169102601786567,0.36500000000000005,0.44687999657729693,0.275,0.5125650427116585,9.269380781514432,1.81242436402687
0,0,0,3,46,60.741123899288404,0.534842852906118,59.69106284922735,0.39947819836324067,10.575256381944204,1.1525951471718765,0.4699999999999999,0.6178123669448854,0.43999999999999995,0.6142784165439585,0.09,1.294763783614843,24.757385392559666,0.5561915284322023
0,0,0,3,47,38.769443557825305,0.6280516323762726,60.449299839097236,0.2941021402242932,54.093162661383325,0.402538124600238,0.215,0.6794854615387823,0.44000000000000006,0.45094265965491737,0.34500000000000003,0.5833220810869016,-2.6683431581764565,-8.125267085563115
0,0,0,3,48,62.965693650585045,0.3702648924087815,73.93163108418172,0.3554502721442488,46.09833574881171,0.4640332701858273,0.37,0.5621566910774366,0.39,0.5121453044792077,0.24,0.5129891760425771,9.213666467706492,1.511265328574548
0,0,0,3,49,57.65378401600027,0.35127475670709546,71.38022013784766,0.20297797914645355,61.26820661236089,0.29993900941004087,0.37,0.39312847528223693,0.39,0.5254846546645948,0.24000000000000005,0.6945906278887422,4.0015517944964385,2.7231057503519733
0,0,0,3,50,81.40976288376827,0.20985114390393983,51.83961819646466,0.6797488620310315,58.70677582661962,0.48932383084531583,0.425,0.45082332258247415,0.215,0.8834632105040586,0.36,0.6585766446520038,10.698196484255707,1.4005817947950914
0,0,0,3,51,44.95607405639136,0.3606725500389267,27.4912826711704,0.7418529458622268,66.20395607971884,0.32133171552224593,0.38,0.4799523716468375,0.13,1.17325113195065,0.4900000000000001,0.3680623181070057,14.348810340653182,0.7561798068909126
0,0,0,3,52,41.58124307282228,0.5067306013712649,41.25705696684462,0.6039684096044357,56.59393767082321,0.5122504384195167,0.365,0.7290749657449456,0.195,0.8061324182542264,0.44000000000000006,0.5488332359060862,-9.490319306179014,-1.802337404720688
0,0,0,3,53,30.03880948059616,0.8054086687306007,34.80070858005932,1.0952202279996623,58.677318613369366,0.39277136300104587,0.25000000000000006,0.9130630923032184,0.24,1.0418859418331134,0.51,0.5431650099274344,-3.742814699603521,-3.2899216453598936
0,0,0,3,54,41.19333721359594,0.6604227599068118,60.497985511898136,0.3588095135752513,30.117754943237003,0.9645378794252668,0.32,0.7627749719902566,0.46499999999999997,0.6443118346673904,0.21500000000000002,1.0805691688779628,1.2044764103797578,10.71713422620145
0,0,0,3,55,59.75770561443004,0.5124274504401902,66.99790281044858,0.3829167961236052,65.26699335974416,0.5043376207390429,0.29999999999999993,0.6839855680567696,0.40499999999999997,0.4121935185554284,0.295,0.7416560353939888,-1.5957805605630104,-12.958902087233835
