id_trainer_scenario,id_trainer_params_scenario,id_path,id_generation,id_chromosome,total_accumulated_payoff
0,0,0,4,1,406.6380124864507
0,0,0,4,2,283.1176910234683
0,0,0,4,3,368.3976096218711
0,0,0,4,4,407.67567562126067
0,0,0,4,5,351.3503730287901
0,0,0,4,6,403.5181070926699
0,0,0,4,8,380.62695631547086
0,0,0,4,9,299.4089633882336
0,0,0,4,7,190.14004419203718
0,0,0,4,10,253.3649672568168
0,0,0,4,13,333.6938006588432
0,0,0,4,11,469.93687167510836
0,0,0,4,12,323.7051220982185
0,0,0,4,14,423.6238977396043
0,0,0,4,15,341.66957356891214
0,0,0,4,17,281.9921220975701
0,0,0,4,16,367.6078964592508
0,0,0,4,18,437.64230821799316
0,0,0,4,19,293.98855546323523
0,0,0,5,0,325.1488226651526
0,0,0,5,1,506.42005713177775
0,0,0,5,2,472.44552977827635
0,0,0,5,3,417.60495008269817
0,0,0,5,4,406.628507406982
0,0,0,5,5,293.1502549286001
0,0,0,5,6,503.4661720763198
0,0,0,5,7,424.81323025141427
0,0,0,5,8,496.98097694135066
0,0,0,5,9,372.8247885551677
0,0,0,5,10,395.74242089184014
0,0,0,5,11,415.9254952088842
0,0,0,5,12,361.649541695058
0,0,0,5,14,314.4015408800205
0,0,0,5,13,440.9631676114529
0,0,0,5,15,270.7268128690813
0,0,0,5,16,435.976354739977
0,0,0,5,17,402.1319382252241
0,0,0,5,18,385.1739447093853
0,0,0,5,19,339.70586272813097
0,0,0,6,0,422.898862235403
0,0,0,6,3,519.6954024311024
0,0,0,6,1,465.21525739840644
0,0,0,6,2,561.6697956884846
0,0,0,6,4,437.8260348719187
0,0,0,6,6,394.5226355049225
0,0,0,6,5,411.62065599923585
0,0,0,6,7,321.4522751400186
0,0,0,6,8,396.3781722308288
0,0,0,6,9,482.46497139977424
0,0,0,6,10,536.0599739690713
0,0,0,6,11,506.8292015450667
0,0,0,6,13,379.54364419172146
0,0,0,6,12,488.73540196362364
0,0,0,6,14,446.5970498855267
0,0,0,6,15,410.4144311881285
0,0,0,6,16,358.9930415957019
0,0,0,6,17,503.4099575236435
0,0,0,6,18,442.97989402429687
0,0,0,6,19,460.4139810882432
0,0,0,7,3,579.7534728812271
0,0,0,7,0,506.1344374466547
0,0,0,7,1,407.80653710223584
0,0,0,7,2,507.0845004847058
0,0,0,7,5,452.8179519014422
0,0,0,7,6,453.78663862502435
0,0,0,7,4,424.3876465588216
0,0,0,7,7,465.2149713654273
0,0,0,7,9,494.2848156235632
0,0,0,7,10,546.4084645182813
0,0,0,7,8,503.70112122571834
0,0,0,7,12,454.18275670633255
0,0,0,7,11,382.00496399210556
0,0,0,7,13,284.5493960722813
0,0,0,7,14,465.34114794872585
0,0,0,7,15,523.6821213956149
0,0,0,7,16,538.1848698121869
0,0,0,7,17,608.5959197549917
0,0,0,7,18,450.2079554348233
0,0,0,7,19,286.2914642290392
0,0,0,8,0,438.43945386793035
0,0,0,8,2,403.51829733955356
0,0,0,8,1,569.3213995252937
0,0,0,8,3,555.6128712573461
0,0,0,8,4,537.6408337804185
0,0,0,8,5,403.70724253480023
0,0,0,8,6,338.43045090763815
0,0,0,8,7,388.961921561963
0,0,0,8,9,527.3423640441395
0,0,0,8,8,578.989731278059
0,0,0,8,10,593.9222049872089
0,0,0,8,11,382.9488988828752
0,0,0,8,12,415.73391003967106
0,0,0,8,13,586.790669028119
0,0,0,8,14,520.8139784640734
0,0,0,8,16,598.3103351270934
0,0,0,8,15,438.0210713839738
0,0,0,8,18,337.1534299364788
0,0,0,8,17,520.8281409020416
0,0,0,8,19,607.1931697714127
0,0,0,9,0,642.9930826503921
0,0,0,9,1,501.3525938703343
0,0,0,9,3,489.81506673188267
0,0,0,9,2,443.2168268250817
0,0,0,9,4,488.2219546996427
0,0,0,9,5,497.9461047858446
0,0,0,9,6,616.4274216946541
0,0,0,9,7,424.01597841009556
0,0,0,9,8,449.66164595706545
0,0,0,9,9,573.147464987845
0,0,0,9,10,477.8417448321469
0,0,0,9,11,523.2487436862255
0,0,0,9,12,644.4252648854018
0,0,0,9,15,378.91325097261984
0,0,0,9,14,414.21551270784516
0,0,0,9,13,479.0303245188851
0,0,0,9,16,594.596613805422
0,0,0,9,17,481.6297088222409
0,0,0,9,18,538.1656603845512
0,0,0,9,19,573.5974799957611
0,0,0,10,1,402.53223143168196
0,0,0,10,0,478.0723379476763
0,0,0,10,2,448.27035852140324
0,0,0,10,3,588.5554735113069
0,0,0,10,4,706.8843066941524
0,0,0,10,5,535.43018098716
0,0,0,10,6,652.9999231403608
0,0,0,10,7,634.678656264989
0,0,0,10,8,482.85111617388594
0,0,0,10,9,432.7934125998285
0,0,0,10,11,411.75012806771383
0,0,0,10,10,580.8347577743103
0,0,0,10,12,573.8489819130582
0,0,0,10,13,432.2074936924135
0,0,0,10,15,553.5654176046359
0,0,0,10,14,506.8276395385011
0,0,0,10,16,639.4675406141992
0,0,0,10,18,509.62975145972234
0,0,0,10,17,572.4739543331181
0,0,0,10,19,313.5504020827206
0,0,0,11,0,593.4868320760454
0,0,0,11,2,510.38511531899474
0,0,0,11,1,496.92559785519495
0,0,0,11,3,454.97887803340546
0,0,0,11,4,560.1857766678693
0,0,0,11,5,703.3645808208291
0,0,0,11,6,547.0955509619724
0,0,0,11,7,513.8139154631772
0,0,0,11,8,607.7039387617094
0,0,0,11,9,543.1644348414184
0,0,0,11,10,498.53105360485154
0,0,0,11,11,450.09337839894926
0,0,0,11,12,524.4856797539874
0,0,0,11,13,527.4334154857231
0,0,0,11,14,565.1638828013233
0,0,0,11,15,683.7178867045993
0,0,0,11,16,577.6926788502187
0,0,0,11,17,547.800411919389
0,0,0,11,18,530.132317388632
0,0,0,11,19,614.1206987150819
0,0,0,12,1,509.07304775102995
0,0,0,12,2,558.801964278343
